Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Fossoyeur	necromancien		Creature	Zombie	2	0	4	Tant que cette creature est en jeu, vous pouvez jouer n'importe quelle creature ayant le sous-type "Zombie" qui est dans votre defausse comme si elle etait dans votre main, le cout d'une carte est divise par deux (arrondi a l'inferieur) si vous la jouez depuis la defausse.	04-02-02
Goule Ouvriere	necromancien		Creature	Zombie	2	0	1	A chaque fois que cette creature attaque le joueur adverse, defaussez les deux cartes du dessus du deck adverse.	04-02-03
Putrefaction	necromancien		Sort		2			Cherchez dans votre deck deux creatures au choix ayant le sous-type "Zombie", montrez-les a votre adversaire et mettez-les dans votre main. Melangez ensuite votre deck.	04-02-04
Abomination	necromancien		Creature	Zombie	4	0	5	Tant que cette creature est en jeu, a chaque fois qu'un joueur recois un point de degat ou gagne un point de vie, le joueur de votre choix defausse les deux cartes du dessus de son deck.	04-02-05
Envahissement de Zombies	necromancien		Sort		7			Inflige X points de degat a la cible, X etant le nombre de creatures ayant le sous-type "Zombie" en jeu.	04-02-06
Duplication morbide	necromancien		Sort		8			Invoquez X Jetons 1/1 ayant le sous-type "Zombie", X etant le nombre de creatures ayant le sous-type "Zombie" en jeu. Tout les Jetons generes de cette maniere gagnent la Celerite. (Peux attaquer des le tour ou cette carte est jouee)	04-02-07
Recherche des taboos	necromancien		Sort		1			Banissement 2 : piochez deux cartes. (Banissez 2 cartes au choix de votre defausse pour activer cet effet)	04-02-08
Nourriture Contaminee	necromancien		Artefact		4			A chaque fois qu'une creature ayant le sous-type "Zombie" attaque une autre creature, si la creature ciblee n'avait pas le sous-type "Zombie" elle l'obtiens en plus de ses autres sous-types potentiels.	04-02-09
Voyage en Outre-Tombe	necromancien		Artefact		6			A chaque fois que vous jouez une creature ayant le sous-type "Zombie", mettez en jeu depuis votre defausse la creature de votre choix ayant le sous-type "Zombie" qui s'y trouve.	04-02-10
Degenerescence	necromancien		Sort		8			Le joueur ciblee defausse les X cartes du dessus de son deck, X etant le nombre de creatures avec le sous-type "Zombie" en jeu. Coute 1 de moins a jouer pour chaque creature avec le sous-type "Zombie" en jeu.	04-02-11
Zombie Cannibal	necromancien		Creature	Zombie	5	3	5	Rassemblement 1 : Gagne +2/+1. (Banissez 1 creature alliee avec le sous-type "Zombie" qui est soit en jeu, soit dans votre main soit dans votre defausse pour activer cet effet) Celerite. (Peux attaquer des le tour ou cette carte est jouee)	04-03-01
Maitre de l'Oblivion	necromancien		Creature	Zombie	7	4	8	Banissement X : Infligez X points de degats a la cible. (Banissez X cartes au choix de votre defausse pour activer cet effet)	04-03-02
Retour de l'Oblivion	necromancien		Sort		15			Ramenez en jeu sous votre controle l'ensemble des creatures bannies, alliees comme ennemies. Coute 1 de moins a jouer pour chaque carte dans toutes les zones de banissement.	04-03-03
Extinction de Masse	necromancien		Sort		9			Rassemblement X : Banissez X creatures en jeu ou dans la defausse de n'importe quel joueur. (Banissez X creatures alliees avec le sous-type "Zombie" qui sont soit en jeu, soit dans votre main soit dans votre defausse pour activer cet effet)	04-03-04
Explosion Mortuaire	necromancien		Sort		1			Sacrifiez une creature alliee : infligez X points de degats a la cible. X est egal a l'Attaque de la creature sacrifiee.	04-03-05
