Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Apprenti Shaolin	moine		Creature		4	2	3	Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)	03-02-01
Protecteur du Temple	moine		Creature		1	1	2	Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)	03-02-02
Moine Purificateur	moine		Creature		2	1	3	Charge. Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)	03-02-03
Mirroir Reflecteur	moine		Sort	Piege	2			Au moment ou un artefact ou un sort est joue, vous pouvez sacrifier 1 Point de Mana maximum. Si vous faites ainsi et que la cible etait un artefact, il est directement detruit sans effectuer le moindre effet; si la cible etait un sort, il est contrecarre.	03-02-04
Treve	moine		Sort	Piege	5			Au moment ou une creature adverse attaque une cible, vous pouvez sacrifier 1 Point de Mana maximum. Si vous faites ainsi, aucune creature n'inflige de degats a qui que ce soit pour le tour en cours.	03-02-05
Maitre d'Arme	moine		Creature		3	1	1	Cherchez dans votre deck un Sort ayant le sous-type "Piege", montrez-le a votre adversaire et mettez-le dans votre main, melangez ensuite votre deck. Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)	03-02-06
Guerrier Shaolin	moine		Creature		5	1	1	Grandeur 2. (A chaque fois que vous lancez un sort, cette creature gagne +2/+0 jusqu'a la fin du tour.) Celerite. (Peux attaquer des le tour ou cette carte est jouee)	03-02-07
Temple Shaolin	moine		Artefact		6			Tant que cet Artefact est en jeu, toutes les creatures qui sont en jeu et qui arrivent en jeu ont "Grandeur X (A chaque fois que vous lancez un sort, cette creature gagne +X/+0 jusqu'a la fin du tour.), X etant le nombre de creatures en jeu.". Sacrifiez cet artefact a la fin de votre tour.	03-02-08
Defense du Temple	moine		Sort	Piege	4			Au moment ou une creature adverse attaque une creature alliee, choisissez une creature adverse attaquante et une creature alliee defenseuse, la creature alliee gagne +1/+2 jusqu'a la fin du tour et la creature adverse gagne -2/-1 jusqu'a la fin du tour.	03-02-09
Comptable du Temple	moine		Creature		6	3	3	Devotion 1 : Piochez une carte. (Payez 1 Point de Mana et defaussez-vous de 1 carte de votre main pour activer cet effet.)	03-02-10
Tempete de Sable	moine		Sort		5			Infligez 3 Points de Degats a toutes les creatures et 2 Points de Degats supplementaires a la cible du sort.	03-02-11
Acceleration	moine		Sort		4			Donnez-vous 2 Points de Mana vide supplementaires et infligez vous 2 Points de Degats.	03-03-01
Maitre Samurai	moine		Creature		3	3	1	Celerite. (Peux attaquer des le tour ou cette carte est jouee) Amelioration 5 : Gagne "Peux attaquer 2 fois par tour, cette creature ne peux pas etre attaque par les autres creatures.". (Vous pouvez payer le cout d'amelioration a la place du cout original pour beneficier de l'effet specifie.)	03-03-02
Manipulateur du Temps	moine		Creature		1	1	1	Amelioration 3 : Gagne +1/+2 et Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Amelioration 5 : Gagne +3/+4 et Charge. (Peux attaquer une creature des le tour ou cette carte est jouee) Amelioration 7 : Gagne +5/6 et Celerite. (Peux attaquer des le tour ou cette carte est jouee) Amelioration 10 : Gagne +9/+12, Celerite (Peux attaquer des le tour ou cette carte est jouee) et Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature. Vous pouvez payer le cout d'amelioration a la place du cout original pour beneficier de l'effet specifie.)	03-03-03
Apprenti Samurai	moine		Creature		3	2	2	Quand cette creature meurt, donnez-vous 1 Point de Mana vide supplementaire.	03-03-04
Deferlement	moine		Sort		10			Detruit toutes les creatures et tout les artefacts en jeu.	03-03-05
