Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Alucard	vampire		Creature		6	6	6	Succion 4 : Donnez la Celerite (Peux attaquer des le tour ou cette carte est jouee) a la creature de votre choix. (Payez 4 PVs pour activer cet effet.)
Temple Sanglant	vampire		Artefact		5			A chaque fois que vous utilisez une capacitee de succion, infligez 1 Point de Degat a la cible de votre choix.
Nosferatu	vampire		Creature		4	3	3	Succion 2 : le joueur cible pioche deux cartes. (Payez 2 PVs pour activer cet effet.) Cet effet est utilisable qu'une fois par tour.
Traitrise	vampire		Sort		3			Sacrifiez une creature alliee : rendez 3PVs a la cible de votre choix.
Abraham Van Helsing, Chasseur de Vampires	vampire		Creature		7	3	3	Gagne +0/+1 pour chaque carte neutre en jeu, gagne +1/+0 pour chaque carte vampire en jeu. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Calice Ensanglante	vampire		Artefact		0			A chaque fois que vous utilisez une capacitee de succion, vous regagnez autant de vie que de PVs depenses et vous pouvez ensuite decider de les redepenser pour infliger X points de degats a toutes les creatures adverses et leurs proprietaires, X etant le cout de la capacitee de succion. Coute 1 de plus pour chaque PV que vous avez.
Sentinelle Vampire	vampire		Creature		1	1	1	A chaque fois que vous utilisez une capacitee de succion, rendez 1PV a la cible de votre choix, utilisable deux fois par tour.
Behemoth	vampire		Creature		9	7	5	Succion 5 : inflige 4 points de degats a la cible. (Payez 5 PVs pour activer cet effet.) Cet effet est utilisable qu'une fois par tour. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Vengeance	vampire		Sort		6			Detruisez la carte de votre choix, si vous avez moins de 10PVs, cette carte coute 3 de moins a jouer et vous pouvez la remettre dans votre main au lieu de la mettre dans votre defausse.
Carmilla	vampire		Creature		4	1	2	A chaque fois qu'une creature, qu'un sort ou qu'un artefact est joue, infligez 1 point de degats au joueur cible.
Appel des Chauve-Souris	vampire		Sort		5			Invoquez 2 Jetons Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.) Amelioration 8 : Invoquez en une de plus et donnez leur la Celerite. (Peux attaquer des le tour ou cette carte est jouee. Vous pouvez payer le cout d'amelioration a la place du cout original pour beneficier de l'effet specifie.)
Cthulhu	vampire		Creature		50	15	15	Celerite. (Peux attaquer des le tour ou cette carte est jouee) Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.) Ignore les creatures avec Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Coute 1 de moins a jouer pour chaque PV que vous avez. Si vous jouez cette carte pour 0, gagne +X/+X, X etant le nombre de PVs que tout les joueurs possedent.
Sucage de Sang	vampire		Sort		5			Inflige 6 points de degats la creature cible. Vous gagnez 4PVs. Si vous avez moins de 10PVs, vous gagnez 2PVs supplementaires.
Pacte avec Cthulhu	vampire		Sort		7			Defaussez 3 cartes de votre main : cherchez dans votre deck une carte du nom de "Cthulhu", montrez-la a votre adversaire et mettez la dans votre main. Melangez ensuite votre deck.
Protecteur de Cthulhu	vampire		Creature		5	4	5	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)
